KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-05-15,5.1051,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-05-16,5.1041,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-05-19,5.0413,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-05-20,5.0733,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-05-21,5.0709,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-05-22,5.0581,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-05-23,5.0517,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-05-26,5.0624,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-05-27,5.0608,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-05-28,5.0511,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
